Hugo_Symbol	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
MYCBP2	30	3	0	0	0	33	29	29
RELN	25	4	0	2	0	31	29	29
SVEP1	29	2	0	0	0	31	29	29
DCHS2	29	1	0	0	0	30	29	29
PTEN	17	11	0	2	0	30	29	29
VPS13C	29	2	0	3	0	34	28	28
ANK2	30	2	0	1	0	33	28	28
KIAA1109	27	4	0	2	0	33	28	28
DYNC2H1	28	3	0	1	0	32	28	28
CSMD2	27	1	0	1	0	29	28	28
UTRN	22	5	0	2	0	29	28	28
PRKDC	28	4	0	0	0	32	27	27
DNAH9	27	2	0	1	0	30	27	27
FMN2	26	3	0	0	0	29	27	27
RYR1	27	1	0	0	0	28	27	27
AKT1	27	0	0	0	0	27	27	27
DNAH8	27	6	0	1	0	34	26	26
HERC2	27	2	0	0	0	29	26	26
LRP1	27	2	0	0	0	29	26	26
VPS13B	26	3	0	0	0	29	26	26
ERBB2	28	0	0	0	0	28	26	26
HYDIN	24	2	0	1	0	27	26	26
PTPRD	23	4	0	0	0	27	26	26
DST	33	3	0	1	0	37	25	25
AKAP9	28	6	0	0	0	34	25	25
TEX15	27	2	0	1	0	30	25	25
DNAH5	25	3	0	1	0	29	25	25
F5	25	2	0	1	0	28	25	25
TENM1	26	1	0	0	0	27	25	25
NF1	15	8	0	3	0	26	25	25
CMYA5	33	3	0	0	0	36	24	24
ANK3	35	0	0	0	0	35	24	24
DNAH6	31	1	0	0	0	32	24	24
CEP350	25	5	0	0	0	30	24	24
LYST	23	6	0	0	0	29	24	24
CENPE	25	3	0	0	0	28	24	24
CUBN	26	2	0	0	0	28	24	24
DNAH7	21	6	0	1	0	28	24	24
SRCAP	23	3	0	0	0	26	24	24
AHCTF1	23	2	0	0	0	25	24	24
KMT2D	23	2	0	0	0	25	24	24
TPR	24	0	0	1	0	25	24	24
USP34	20	1	0	3	0	24	24	24
SACS	29	5	0	0	0	34	23	23
ASPM	30	1	0	0	0	31	23	23
HERC1	28	2	0	1	0	31	23	23
ATRX	28	2	0	0	0	30	23	23
MXRA5	26	1	0	0	0	27	23	23
UBR4	24	1	0	1	0	26	23	23
COL12A1	23	2	0	0	0	25	23	23
PREX2	25	0	0	0	0	25	23	23
RP1	21	4	0	0	0	25	23	23
SCN10A	23	2	0	0	0	25	23	23
TG	24	1	0	0	0	25	23	23
AHNAK2	21	3	0	0	0	24	23	23
CHD4	21	3	0	0	0	24	23	23
PDZD2	22	0	0	2	0	24	23	23
DNAH3	22	0	0	1	0	23	23	23
ALMS1	25	2	0	0	0	27	22	22
COL6A5	24	2	0	0	0	26	22	22
DYNC1H1	23	0	0	1	0	24	22	22
FBN1	23	1	0	0	0	24	22	22
LAMA1	23	1	0	0	0	24	22	22
PKD1L1	23	1	0	0	0	24	22	22
PKHD1	20	2	0	2	0	24	22	22
CACNA1A	20	2	0	1	0	23	22	22
GON4L	20	2	0	1	0	23	22	22
MYH9	22	1	0	0	0	23	22	22
SSPO	18	3	0	2	0	23	22	22
CDH23	22	0	0	0	0	22	22	22
UBR5	22	0	0	0	0	22	22	22
COL14A1	27	2	0	2	0	31	21	21
PCDH15	22	2	0	0	0	24	21	21
WDFY4	23	1	0	0	0	24	21	21
AFF2	22	1	0	0	0	23	21	21
F8	20	3	0	0	0	23	21	21
FRAS1	21	2	0	0	0	23	21	21
OTOGL	21	1	0	1	0	23	21	21
MAP1A	20	2	0	0	0	22	21	21
NAV3	18	4	0	0	0	22	21	21
NOTCH2	20	2	0	0	0	22	21	21
PEG3	20	2	0	0	0	22	21	21
TLN1	19	3	0	0	0	22	21	21
ATM	15	5	0	1	0	21	21	21
KIAA2022	21	0	0	0	0	21	21	21
MAP2K4	11	8	0	2	0	21	21	21
MYO18B	20	0	0	1	0	21	21	21
DNAH10	23	3	0	1	0	27	20	20
FAT2	23	2	0	0	0	25	20	20
ZDBF2	22	3	0	0	0	25	20	20
REV3L	22	2	0	0	0	24	20	20
DNAH12	22	1	0	0	0	23	20	20
SETD2	18	5	0	0	0	23	20	20
SMG1	17	5	0	1	0	23	20	20
NBPF12	21	1	0	0	0	22	20	20
QSER1	22	0	0	0	0	22	20	20
RNF213	20	2	0	0	0	22	20	20
VPS13D	19	1	0	2	0	22	20	20
AK9	18	1	0	2	0	21	20	20
PCNT	20	1	0	0	0	21	20	20
SPHKAP	19	1	0	1	0	21	20	20
ARID1B	19	1	0	0	0	20	20	20
ASH1L	17	2	0	1	0	20	20	20
ASXL3	20	0	0	0	0	20	20	20
BRWD1	17	2	0	1	0	20	20	20
CHD6	15	4	0	1	0	20	20	20
CHD7	18	2	0	0	0	20	20	20
FCGBP	20	0	0	0	0	20	20	20
FREM1	20	0	0	0	0	20	20	20
FRMPD4	19	1	0	0	0	20	20	20
MAP2	17	3	0	0	0	20	20	20
THSD7B	17	3	0	0	0	20	20	20
USP9X	17	3	0	0	0	20	20	20
SPEN	19	9	0	0	0	28	19	19
ZNF292	21	2	0	0	0	23	19	19
BOD1L1	19	3	0	0	0	22	19	19
HIVEP1	16	4	0	1	0	21	19	19
NIPBL	16	5	0	0	0	21	19	19
PAPPA2	19	0	0	2	0	21	19	19
PLXNA2	21	0	0	0	0	21	19	19
SDK1	21	0	0	0	0	21	19	19
ARFGEF1	18	2	0	0	0	20	19	19
CPS1	19	0	0	1	0	20	19	19
DNAH1	19	0	0	1	0	20	19	19
MYLK	17	3	0	0	0	20	19	19
MYO10	19	1	0	0	0	20	19	19
ARID1A	7	10	0	2	0	19	19	19
ATP10B	18	1	0	0	0	19	19	19
BRCA1	12	5	0	2	0	19	19	19
COL6A6	18	0	0	1	0	19	19	19
MYH8	19	0	0	0	0	19	19	19
NCOA6	15	4	0	0	0	19	19	19
PCNXL2	15	3	0	1	0	19	19	19
TAF1	17	2	0	0	0	19	19	19
BAZ2B	20	2	0	0	0	22	18	18
GOLGB1	19	3	0	0	0	22	18	18
ADGRG4	21	0	0	0	0	21	18	18
MGA	17	4	0	0	0	21	18	18
UNC13C	19	2	0	0	0	21	18	18
CIT	20	0	0	0	0	20	18	18
FREM2	20	0	0	0	0	20	18	18
LAMA2	19	1	0	0	0	20	18	18
LRBA	19	1	0	0	0	20	18	18
MYO16	19	1	0	0	0	20	18	18
SCN2A	20	0	0	0	0	20	18	18
SPAG17	18	2	0	0	0	20	18	18
WDFY3	18	0	0	2	0	20	18	18
ABCA8	17	0	0	2	0	19	18	18
EYS	19	0	0	0	0	19	18	18
MROH2B	17	2	0	0	0	19	18	18
RB1	7	11	0	1	0	19	18	18
SI	18	1	0	0	0	19	18	18
TENM2	17	1	0	1	0	19	18	18
ANK1	16	2	0	0	0	18	18	18
CACNA1F	17	1	0	0	0	18	18	18
COL6A3	15	2	0	1	0	18	18	18
FLG2	18	0	0	0	0	18	18	18
HTT	17	1	0	0	0	18	18	18
KIF4A	14	3	0	1	0	18	18	18
MTOR	17	1	0	0	0	18	18	18
MYO5B	18	0	0	0	0	18	18	18
MYO7A	15	2	0	1	0	18	18	18
PIWIL1	15	3	0	0	0	18	18	18
RAPGEF6	14	4	0	0	0	18	18	18
SF3B1	17	1	0	0	0	18	18	18
WDR44	14	2	0	2	0	18	18	18
ZNF536	17	1	0	0	0	18	18	18
SETX	21	2	0	1	0	24	17	17
SCN9A	21	0	0	2	0	23	17	17
C5orf42	21	1	0	0	0	22	17	17
TACC2	21	0	0	0	0	21	17	17
DNAH2	19	0	0	1	0	20	17	17
HECTD4	17	2	0	1	0	20	17	17
ICE1	16	3	0	1	0	20	17	17
MKI67	19	1	0	0	0	20	17	17
VPS13A	19	1	0	0	0	20	17	17
WNK3	16	4	0	0	0	20	17	17
AKAP13	16	3	0	0	0	19	17	17
DOCK11	15	2	0	2	0	19	17	17
FLNA	19	0	0	0	0	19	17	17
RANBP2	17	2	0	0	0	19	17	17
SCN1A	19	0	0	0	0	19	17	17
VCAN	16	2	0	1	0	19	17	17
ERBB3	18	0	0	0	0	18	17	17
HECW1	17	1	0	0	0	18	17	17
KCNT2	13	4	0	1	0	18	17	17
KIF26B	17	1	0	0	0	18	17	17
RUNX1	14	3	0	1	0	18	17	17
SVIL	16	1	0	1	0	18	17	17
THSD7A	16	2	0	0	0	18	17	17
TSHZ3	16	2	0	0	0	18	17	17
ZNF208	16	2	0	0	0	18	17	17
ABCA12	16	0	0	1	0	17	17	17
CFH	15	2	0	0	0	17	17	17
CNTNAP5	17	0	0	0	0	17	17	17
MAGI1	16	1	0	0	0	17	17	17
MEGF8	14	3	0	0	0	17	17	17
ROS1	13	2	0	2	0	17	17	17
SEMA3D	13	4	0	0	0	17	17	17
SPTB	16	0	0	1	0	17	17	17
STAG2	13	3	0	1	0	17	17	17
TEP1	14	3	0	0	0	17	17	17
ZAN	16	1	0	0	0	17	17	17
DMXL2	19	3	0	0	0	22	16	16
BSN	16	4	0	0	0	20	16	16
KIAA1549L	19	0	0	0	0	19	16	16
PTPRQ	15	4	0	0	0	19	16	16
STAB2	15	2	0	2	0	19	16	16
CREBBP	17	1	0	0	0	18	16	16
HECW2	17	0	0	1	0	18	16	16
KIF13A	17	1	0	0	0	18	16	16
KMT2A	13	4	0	1	0	18	16	16
TENM3	16	2	0	0	0	18	16	16
ADAMTSL3	14	3	0	0	0	17	16	16
AKAP6	17	0	0	0	0	17	16	16
ATAD2B	12	5	0	0	0	17	16	16
BRWD3	17	0	0	0	0	17	16	16
CDC42BPA	13	4	0	0	0	17	16	16
CHD8	16	1	0	0	0	17	16	16
COL22A1	14	1	0	2	0	17	16	16
CSPP1	15	1	0	1	0	17	16	16
FER1L6	13	1	0	3	0	17	16	16
LRRK2	13	3	0	1	0	17	16	16
MED12	13	4	0	0	0	17	16	16
MIA3	14	1	0	2	0	17	16	16
PLCH1	16	1	0	0	0	17	16	16
PXDNL	12	4	0	1	0	17	16	16
UGGT2	13	3	0	1	0	17	16	16
YLPM1	14	3	0	0	0	17	16	16
ANKHD1-EIF4EBP3	14	2	0	0	0	16	16	16
ASTN1	15	1	0	0	0	16	16	16
CACNA1B	14	0	0	2	0	16	16	16
CACNA1C	15	0	0	1	0	16	16	16
COL4A4	13	1	0	2	0	16	16	16
EML5	14	2	0	0	0	16	16	16
FAM135B	13	2	0	1	0	16	16	16
GRIN2A	14	2	0	0	0	16	16	16
HCFC1	15	0	0	1	0	16	16	16
ITPR2	15	0	0	1	0	16	16	16
KDM5B	14	2	0	0	0	16	16	16
KIAA2018	14	2	0	0	0	16	16	16
MLLT4	12	3	0	1	0	16	16	16
MYH6	15	1	0	0	0	16	16	16
NCKAP5	13	3	0	0	0	16	16	16
PLCE1	16	0	0	0	0	16	16	16
SCN3A	15	1	0	0	0	16	16	16
SPTBN2	15	1	0	0	0	16	16	16
TCHH	16	0	0	0	0	16	16	16
UNC5D	13	2	0	1	0	16	16	16
NBEAL1	16	4	0	0	0	20	15	15
HELZ	13	5	0	1	0	19	15	15
HIVEP3	19	0	0	0	0	19	15	15
LRRC7	19	0	0	0	0	19	15	15
ANKRD11	16	2	0	0	0	18	15	15
BRCA2	16	1	0	1	0	18	15	15
CFTR	16	2	0	0	0	18	15	15
NIN	14	3	0	1	0	18	15	15
TRPM6	16	2	0	0	0	18	15	15
WDR87	17	1	0	0	0	18	15	15
ATP7A	16	1	0	0	0	17	15	15
DMXL1	13	4	0	0	0	17	15	15
DNAJC13	14	2	0	1	0	17	15	15
KIAA1210	16	1	0	0	0	17	15	15
MYOM2	14	3	0	0	0	17	15	15
RIMS2	15	2	0	0	0	17	15	15
SZT2	15	1	0	1	0	17	15	15
THADA	14	2	0	1	0	17	15	15
TRIO	16	1	0	0	0	17	15	15
ABCA9	16	0	0	0	0	16	15	15
ANKRD12	12	3	0	1	0	16	15	15
ANKRD26	13	1	0	2	0	16	15	15
ARID4B	13	3	0	0	0	16	15	15
ASXL2	11	5	0	0	0	16	15	15
CBFB	12	3	0	1	0	16	15	15
CD163L1	15	1	0	0	0	16	15	15
CENPF	14	1	0	1	0	16	15	15
CFAP44	12	3	0	1	0	16	15	15
CFAP47	11	3	0	2	0	16	15	15
FAM186A	16	0	0	0	0	16	15	15
HEG1	14	2	0	0	0	16	15	15
HSPG2	15	1	0	0	0	16	15	15
KIF16B	14	1	0	1	0	16	15	15
LAMB4	14	1	0	1	0	16	15	15
MGAM	16	0	0	0	0	16	15	15
MYT1L	15	0	0	1	0	16	15	15
NBAS	13	3	0	0	0	16	15	15
NUP210L	15	1	0	0	0	16	15	15
SCN7A	15	0	0	1	0	16	15	15
TLR4	14	2	0	0	0	16	15	15
ZFHX3	11	5	0	0	0	16	15	15
ADGRB3	13	2	0	0	0	15	15	15
AMER1	15	0	0	0	0	15	15	15
ARHGAP31	15	0	0	0	0	15	15	15
BACH2	14	1	0	0	0	15	15	15
CADPS	13	1	0	1	0	15	15	15
DNHD1	14	1	0	0	0	15	15	15
FLNC	14	1	0	0	0	15	15	15
HRNR	13	2	0	0	0	15	15	15
IREB2	15	0	0	0	0	15	15	15
LCT	15	0	0	0	0	15	15	15
LOXHD1	13	2	0	0	0	15	15	15
MYH14	14	1	0	0	0	15	15	15
MYO7B	12	3	0	0	0	15	15	15
NALCN	14	0	0	1	0	15	15	15
NAV1	13	2	0	0	0	15	15	15
PCDH11X	14	1	0	0	0	15	15	15
PHKA2	12	0	0	3	0	15	15	15
PKD1L2	13	1	0	1	0	15	15	15
PLXNA4	15	0	0	0	0	15	15	15
RAD54B	13	2	0	0	0	15	15	15
RIMBP2	13	0	0	2	0	15	15	15
RP11-407N17.3	13	2	0	0	0	15	15	15
MED13	17	3	0	0	0	20	14	14
JMJD1C	13	6	0	0	0	19	14	14
TET1	17	2	0	0	0	19	14	14
ANKRD36	16	1	0	1	0	18	14	14
CHD9	18	0	0	0	0	18	14	14
CR1	16	0	0	1	0	17	14	14
SIPA1L2	14	1	0	2	0	17	14	14
ADAMTS20	16	0	0	0	0	16	14	14
ARHGAP29	13	3	0	0	0	16	14	14
BLM	15	1	0	0	0	16	14	14
DNAH14	11	4	0	1	0	16	14	14
IGSF10	15	1	0	0	0	16	14	14
ITPR1	15	1	0	0	0	16	14	14
MAST1	14	2	0	0	0	16	14	14
MYH10	16	0	0	0	0	16	14	14
PLCB4	15	0	0	1	0	16	14	14
PRRC2C	14	2	0	0	0	16	14	14
SGSM1	14	1	0	1	0	16	14	14
AFF1	15	0	0	0	0	15	14	14
ARID2	12	3	0	0	0	15	14	14
COL4A1	14	0	0	1	0	15	14	14
COL4A5	14	1	0	0	0	15	14	14
COL5A1	15	0	0	0	0	15	14	14
DOCK7	11	3	0	1	0	15	14	14
DSP	13	2	0	0	0	15	14	14
EPG5	12	3	0	0	0	15	14	14
FBN2	12	0	0	3	0	15	14	14
HDLBP	15	0	0	0	0	15	14	14
KALRN	12	3	0	0	0	15	14	14
MADD	14	0	0	1	0	15	14	14
MRC1	14	1	0	0	0	15	14	14
MYH1	13	2	0	0	0	15	14	14
MYH4	14	1	0	0	0	15	14	14
NRK	14	1	0	0	0	15	14	14
PRRC2B	15	0	0	0	0	15	14	14
SCN11A	14	1	0	0	0	15	14	14
SNRNP200	15	0	0	0	0	15	14	14
TET2	12	2	0	1	0	15	14	14
TNC	14	1	0	0	0	15	14	14
ANKRD17	13	1	0	0	0	14	14	14
CNTLN	13	0	0	1	0	14	14	14
CRB1	13	1	0	0	0	14	14	14
DOCK4	13	1	0	0	0	14	14	14
DSCAML1	13	0	0	1	0	14	14	14
FBN3	14	0	0	0	0	14	14	14
FLNB	14	0	0	0	0	14	14	14
GRIA3	11	1	0	2	0	14	14	14
GRIK2	12	2	0	0	0	14	14	14
HDX	12	2	0	0	0	14	14	14
HECTD1	13	1	0	0	0	14	14	14
HIVEP2	13	1	0	0	0	14	14	14
LPA	10	1	0	3	0	14	14	14
LRRIQ1	12	2	0	0	0	14	14	14
NRXN2	14	0	0	0	0	14	14	14
POLQ	12	2	0	0	0	14	14	14
RIC1	10	3	0	1	0	14	14	14
ROBO1	13	1	0	0	0	14	14	14
TMEM132D	12	2	0	0	0	14	14	14
TNRC6B	11	2	0	1	0	14	14	14
TRPC5	13	1	0	0	0	14	14	14
TSHZ2	14	0	0	0	0	14	14	14
UTP20	14	0	0	0	0	14	14	14
VWF	10	3	0	1	0	14	14	14
WDR17	13	0	0	1	0	14	14	14
ZZEF1	11	2	0	1	0	14	14	14
ERICH3	15	2	0	0	0	17	13	13
MYO3A	15	0	0	2	0	17	13	13
XPO1	15	1	0	1	0	17	13	13
ATP2B1	13	3	0	0	0	16	13	13
ATR	13	2	0	1	0	16	13	13
CECR2	16	0	0	0	0	16	13	13
DCHS1	15	0	0	1	0	16	13	13
GOLGA4	13	3	0	0	0	16	13	13
LAMA4	15	1	0	0	0	16	13	13
MYH15	15	1	0	0	0	16	13	13
MYH7B	15	0	0	1	0	16	13	13
PLEKHA6	12	3	0	1	0	16	13	13
TRANK1	16	0	0	0	0	16	13	13
ABCA10	11	2	0	2	0	15	13	13
ABCB11	10	5	0	0	0	15	13	13
CAMSAP2	15	0	0	0	0	15	13	13
ERCC6	14	1	0	0	0	15	13	13
NBEA	13	2	0	0	0	15	13	13
PHF3	13	2	0	0	0	15	13	13
SELP	15	0	0	0	0	15	13	13
SPTAN1	14	1	0	0	0	15	13	13
TLN2	14	1	0	0	0	15	13	13
TNXB	15	0	0	0	0	15	13	13
ZNF462	14	1	0	0	0	15	13	13
ADAMTS9	12	2	0	0	0	14	13	13
ADAMTSL1	13	1	0	0	0	14	13	13
C10orf12	14	0	0	0	0	14	13	13
CACNA1D	14	0	0	0	0	14	13	13
CDC42BPB	13	1	0	0	0	14	13	13
CEP162	14	0	0	0	0	14	13	13
CNOT1	11	3	0	0	0	14	13	13
COL11A1	12	0	0	2	0	14	13	13
DSE	13	1	0	0	0	14	13	13
EML6	13	0	0	1	0	14	13	13
EXPH5	14	0	0	0	0	14	13	13
FAM208B	11	3	0	0	0	14	13	13
FGFR2	14	0	0	0	0	14	13	13
GRM3	11	3	0	0	0	14	13	13
KAT6B	14	0	0	0	0	14	13	13
KIF5C	13	0	0	1	0	14	13	13
MMRN1	13	1	0	0	0	14	13	13
MYO9A	13	0	0	1	0	14	13	13
NOS1	13	0	0	1	0	14	13	13
NRXN3	12	2	0	0	0	14	13	13
NUP160	14	0	0	0	0	14	13	13
PAPPA	12	1	0	1	0	14	13	13
RGAG1	14	0	0	0	0	14	13	13
SCN8A	14	0	0	0	0	14	13	13
SMCHD1	11	2	0	1	0	14	13	13
SRGAP1	14	0	0	0	0	14	13	13
TMEM131	13	1	0	0	0	14	13	13
UNC80	10	3	0	1	0	14	13	13
USP32	13	1	0	0	0	14	13	13
ABCC9	12	0	0	1	0	13	13	13
AGBL1	10	1	0	2	0	13	13	13
CAD	12	1	0	0	0	13	13	13
CBLB	13	0	0	0	0	13	13	13
CEP170	13	0	0	0	0	13	13	13
CHD5	13	0	0	0	0	13	13	13
COL1A2	11	0	0	2	0	13	13	13
COL4A6	12	1	0	0	0	13	13	13
COL5A3	9	4	0	0	0	13	13	13
COL7A1	11	1	0	1	0	13	13	13
CPAMD8	11	1	0	1	0	13	13	13
CTCF	9	3	0	1	0	13	13	13
DCC	11	2	0	0	0	13	13	13
DENND4B	13	0	0	0	0	13	13	13
DIP2A	13	0	0	0	0	13	13	13
DIP2C	13	0	0	0	0	13	13	13
DLC1	12	1	0	0	0	13	13	13
EGFR	13	0	0	0	0	13	13	13
EP400	12	1	0	0	0	13	13	13
FBXW7	13	0	0	0	0	13	13	13
GREB1L	12	1	0	0	0	13	13	13
GRIN2B	12	1	0	0	0	13	13	13
GTF3C1	11	1	0	1	0	13	13	13
ITPR3	12	0	0	1	0	13	13	13
KAT6A	12	1	0	0	0	13	13	13
KIAA0430	13	0	0	0	0	13	13	13
KIF1B	13	0	0	0	0	13	13	13
KMT2E	10	2	0	1	0	13	13	13
LRRK1	12	1	0	0	0	13	13	13
MYH13	11	2	0	0	0	13	13	13
MYO15A	12	1	0	0	0	13	13	13
MYO18A	13	0	0	0	0	13	13	13
NFASC	13	0	0	0	0	13	13	13
OTOF	13	0	0	0	0	13	13	13
PRDM10	13	0	0	0	0	13	13	13
SAMD9	13	0	0	0	0	13	13	13
SHANK1	11	2	0	0	0	13	13	13
SIPA1L1	13	0	0	0	0	13	13	13
SLIT2	12	1	0	0	0	13	13	13
ST18	13	0	0	0	0	13	13	13
TBC1D4	11	2	0	0	0	13	13	13
TJP1	11	1	0	1	0	13	13	13
TNN	13	0	0	0	0	13	13	13
TRPS1	12	1	0	0	0	13	13	13
TRRAP	13	0	0	0	0	13	13	13
UHRF1BP1L	12	1	0	0	0	13	13	13
UNC79	11	1	0	1	0	13	13	13
WDR7	9	3	0	1	0	13	13	13
CNTRL	17	0	0	0	0	17	12	12
SRRM2	16	1	0	0	0	17	12	12
CCDC88A	16	0	0	0	0	16	12	12
PTPN13	14	1	0	1	0	16	12	12
CEP192	14	0	0	1	0	15	12	12
DOCK10	15	0	0	0	0	15	12	12
PI4KA	15	0	0	0	0	15	12	12
SHANK2	14	1	0	0	0	15	12	12
AKAP11	11	3	0	0	0	14	12	12
COL4A3	14	0	0	0	0	14	12	12
KIAA2026	14	0	0	0	0	14	12	12
NCKAP1	13	0	0	1	0	14	12	12
SDK2	13	1	0	0	0	14	12	12
SUCO	12	2	0	0	0	14	12	12
TNRC6A	13	1	0	0	0	14	12	12
TP53BP1	14	0	0	0	0	14	12	12
XRN1	11	3	0	0	0	14	12	12
ZNF841	12	2	0	0	0	14	12	12
ACACA	11	2	0	0	0	13	12	12
ADGB	13	0	0	0	0	13	12	12
ADGRL3	13	0	0	0	0	13	12	12
ANAPC1	12	1	0	0	0	13	12	12
ARHGEF11	12	0	0	1	0	13	12	12
CADPS2	10	2	0	1	0	13	12	12
CASP8AP2	13	0	0	0	0	13	12	12
DGKG	11	0	0	2	0	13	12	12
ERBB4	12	0	0	1	0	13	12	12
FCRL5	13	0	0	0	0	13	12	12
GCC2	10	3	0	0	0	13	12	12
KANK1	12	1	0	0	0	13	12	12
LAMA3	9	2	0	2	0	13	12	12
MAP3K5	12	1	0	0	0	13	12	12
MTM1	11	2	0	0	0	13	12	12
NUP188	9	2	0	2	0	13	12	12
PCDHA8	12	1	0	0	0	13	12	12
PCNX	13	0	0	0	0	13	12	12
PDE3A	10	2	0	1	0	13	12	12
PIKFYVE	11	0	0	2	0	13	12	12
PLCL2	11	2	0	0	0	13	12	12
PLEKHH2	10	2	0	1	0	13	12	12
PTPRB	11	2	0	0	0	13	12	12
PTPRZ1	13	0	0	0	0	13	12	12
RLF	11	2	0	0	0	13	12	12
SBF2	11	2	0	0	0	13	12	12
SEC16B	12	1	0	0	0	13	12	12
SHROOM2	13	0	0	0	0	13	12	12
TOPBP1	13	0	0	0	0	13	12	12
ZEB2	13	0	0	0	0	13	12	12
ABCC4	12	0	0	0	0	12	12	12
AIM1	11	1	0	0	0	12	12	12
ANKRD30A	8	2	0	2	0	12	12	12
ATP13A4	10	1	0	1	0	12	12	12
ATP2B3	11	0	0	1	0	12	12	12
ATP9A	10	2	0	0	0	12	12	12
BCOR	11	1	0	0	0	12	12	12
CEP250	11	1	0	0	0	12	12	12
CFAP61	10	2	0	0	0	12	12	12
CNTN1	12	0	0	0	0	12	12	12
CRYBG3	12	0	0	0	0	12	12	12
DENND5B	11	1	0	0	0	12	12	12
DOCK2	11	0	0	1	0	12	12	12
DOCK9	12	0	0	0	0	12	12	12
FAM13C	10	2	0	0	0	12	12	12
FAM171B	11	1	0	0	0	12	12	12
FAM208A	11	1	0	0	0	12	12	12
FAT4	11	1	0	0	0	12	12	12
GATA3	10	2	0	0	0	12	12	12
IGF2R	11	1	0	0	0	12	12	12
IQGAP3	12	0	0	0	0	12	12	12
ITGA1	12	0	0	0	0	12	12	12
KIAA0319	11	1	0	0	0	12	12	12
KIRREL	12	0	0	0	0	12	12	12
LTBP1	11	1	0	0	0	12	12	12
MAST4	11	0	0	1	0	12	12	12
MED12L	11	1	0	0	0	12	12	12
MYH7	11	1	0	0	0	12	12	12
NEDD9	11	1	0	0	0	12	12	12
NID1	11	1	0	0	0	12	12	12
NLGN3	11	0	0	1	0	12	12	12
NLGN4X	12	0	0	0	0	12	12	12
NRP2	11	1	0	0	0	12	12	12
PARP1	10	1	0	1	0	12	12	12
PCSK5	9	1	0	2	0	12	12	12
PMFBP1	12	0	0	0	0	12	12	12
PRKG2	10	2	0	0	0	12	12	12
PTK2	11	1	0	0	0	12	12	12
PZP	10	2	0	0	0	12	12	12
RASAL2	11	1	0	0	0	12	12	12
RGS7	8	2	0	2	0	12	12	12
RIF1	12	0	0	0	0	12	12	12
SMARCA1	10	1	0	1	0	12	12	12
SMARCA4	9	2	0	1	0	12	12	12
SUPT5H	8	3	0	1	0	12	12	12
SYCP2	8	2	0	2	0	12	12	12
TENM4	11	1	0	0	0	12	12	12
TNIK	11	1	0	0	0	12	12	12
TRPA1	12	0	0	0	0	12	12	12
UBR2	10	2	0	0	0	12	12	12
UNC13A	11	0	0	1	0	12	12	12
ZMYM4	8	3	0	1	0	12	12	12
STAG1	14	0	0	1	0	15	11	11
CCDC150	13	0	0	1	0	14	11	11
CEP152	13	1	0	0	0	14	11	11
FRYL	14	0	0	0	0	14	11	11
ITGA8	12	1	0	1	0	14	11	11
KIAA0232	12	2	0	0	0	14	11	11
OXR1	13	1	0	0	0	14	11	11
TTC28	13	1	0	0	0	14	11	11
ZNF106	11	2	0	1	0	14	11	11
ADNP	13	0	0	0	0	13	11	11
ANO4	11	1	0	0	1	13	11	11
ATAD2	11	2	0	0	0	13	11	11
